odos_uid,source_id,cohort,round,scholarship_type,cohort_round,sex,birth_year_be,high_school_track,region,province_code,province,district,economic_corridor,initial_status,initial_country,initial_field_group,initial_field,study_start_date,study_end_dropout_date,graduation_expected_date,restart_thailand_date,project_condition_status,overall_status,after_m6_status,current_status,current_continent,current_country,current_field_group,current_field,program_funding_years,funding_period_academic_year,contract_status,latest_degree,gpa_numeric,study_duration_years,ocs_report_date,moe_report_date,masters_country,masters_field_group,masters_field,doctoral_country,doctoral_field_group,doctoral_field,employment_type,employment_detail,employment_evidence_status,workplace_province_country,work_start_date,income_monthly_est,welfare,domicile_employment_relation,field_job_fit,field_job_fit_level,local_fit,local_fit_level,job_satisfaction,job_satisfaction_level,wants_government,wants_government_flag,desired_government_position,wants_moe,desired_agency_other,target_graduation_success,target_scholarship_risk,target_tracking_risk,target_employment_ready,target_field_mismatch,target_local_mismatch,split
ODOS00369,369,1,,,1 /,หญิง,2529,สามัญ,ตะวันออกเฉียงเหนือ,31,บุรีรัมย์,ชำนิ,,ลาออก,ราชอาณาจักรสเปน,กลุ่มวิทยาศาสตร์,Biochemistry,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,ราชอาณาจักรสเปน,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์ (Science),,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00370,370,1,,,1 /,หญิง,2527,สามัญ,ตะวันออก,25,ปราจีนบุรี,เมืองปราจีนบุรี,,ลาออก,ราชอาณาจักรสเปน,กลุ่มบริหารจัดการ,บริหารธุรกิจและการจัดการ (เทียบเท่าปริญญาโท),2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,ราชอาณาจักรสเปน,กลุ่มวิชาชีพเฉพาะทาง,เภสัชศาสตร์ (Pharmacy),,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,validation
ODOS00371,371,1,,,1 /,หญิง,2528,สามัญ,กลาง,62,กำแพงเพชร,คลองลาน,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,Food Science,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มวิทยาศาสตร์,วิทยาศาสตร์ (Science),,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,validation
ODOS00372,372,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,46,กาฬสินธุ์,เขาวง,,ลาออก,ราชอาณาจักรสเปน,กลุ่มวิทยาศาสตร์,Health Science,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,ราชอาณาจักรสเปน,กลุ่มวิทยาศาสตร์,Health Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00373,373,1,,,1 /,หญิง,2528,สามัญ,ตะวันออกเฉียงเหนือ,31,บุรีรัมย์,บ้านใหม่ไชยพจน์,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มพาณิชยกรรม,Marketing,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,validation
ODOS00374,374,1,,,1 /,หญิง,2528,สามัญ,กลาง,10,กรุงเทพมหานคร,ประเวศ,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มบริหารจัดการ,Political Science,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,validation
ODOS00375,375,1,,,1 /,ชาย,2528,สามัญ,กลาง,75,สมุทรสงคราม,อัมพวา,,พ้นสภาพการเป็น นรท.,สหพันธ์สาธารณรัฐเยอรมนี,กลุ่มวิศวกรรม,Engineering and Manufacturing,20040707,20061001,2012-11-16,,พ้นสภาพ,พ้นสภาพ,พ้นสภาพ,พ้นสภาพการเป็น นรท.,ยุโรป,สหพันธ์สาธารณรัฐเยอรมนี,กลุ่มวิศวกรรม,Engineering and Manufacturing,,,ทำสัญญาแล้ว,,,,2012-11-26,,,,,,,,พ้นสภาพการเป็นนักเรียนทุน,พ้นสภาพการเป็นนักเรียนทุน,,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00376,376,1,,,1 /,ชาย,2528,สามัญ,ตะวันออกเฉียงเหนือ,48,นครพนม,เรณูนคร,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มวิศวกรรม,Aviation Engineering,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มวิศวกรรม,Engineering and Manufacturing,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00377,377,1,,,1 /,ชาย,2528,สามัญ,ใต้,85,ระนอง,ละอุ่น,,พ้นสภาพการเป็น นรท.,สาธารณรัฐฝรั่งเศส,กลุ่มพาณิชยกรรม,Tourism,2005-09-01,,,,พ้นสภาพ,พ้นสภาพ,พ้นสภาพ,พ้นสภาพการเป็น นรท.,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มพาณิชยกรรม,Services,,,ทำสัญญา ก.พ.,,,,,,,,,,,,พ้นสภาพการเป็นนักเรียนทุน,พ้นสภาพการเป็นนักเรียนทุน,,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
ODOS00378,378,1,,,1 /,ชาย,2528,สามัญ,ตะวันตก,70,ราชบุรี,สวนผึ้ง,,ลาออก,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Public Administration,2005-09-01,,,,ลาออก,ลาออก,ลาออก,ลาออก,ยุโรป,สาธารณรัฐฝรั่งเศส,กลุ่มศิลปศาสตร์,Social Science,,,ทำสัญญาแล้ว,,,,,,,,,,,,ลาออก(ระหว่างรับทุน),ลาออก(ระหว่างรับทุน),,,,,,พ้นสภาพ/ลาออก,N/A,,N/A,,,,,,,,,0,1,0,0,0,0,development
